title,genres,keywords,cast,director,popularity
Superman Returns,"adventure, fantasy, action, science fiction","saving world, dc comics, invulnerability, sequel, superhero, based comic book, kryptonite, super powers, superhuman strength, lex luthor","brandon routh, kevin spacey, kate bosworth, james marsden, parker posey, frank langella, sam huntington, eva marie saint, marlon brando, kal penn, tristan lake leabu, david fabrizio, ian roberts, vincent stone, jack larson, noel neill, keegan joyce, jordana beatty",bryan singer,57.925623
Quantum of Solace,"adventure, action, thriller, crime","killing, undercover, secret agent, british secret service","daniel craig, olga kurylenko, mathieu amalric, judi dench, giancarlo giannini, gemma arterton, jeffrey wright, david harbour, jesper christensen, anatole taubman, rory kinnear, tim pigott-smith, joaquín cosio, glenn foster, paul ritter, stana katic, lucrezia lante della rovere, neil jackson, oona chaplin, rachel mcdowall, gustavo nanez, mark wakeling, sarah hadland, david decio, aaron king, alexandra prusa, brandon jovanovich, alexandre krawetz, fernando guillén cuervo, jesús ochoa, simon kassianides, brendan o'hea",marc forster,107.928811
Pirates of the Caribbean: Dead Man's Chest,"adventure, fantasy, action","witch, fortune teller, bondage, exotic island, monster, captain, card game, east india trading company, compass, ship, daughter, pirate, swashbuckler, aftercreditsstinger","johnny depp, orlando bloom, keira knightley, stellan skarsgård, bill nighy, jack davenport, kevin mcnally, jonathan pryce, lee arenberg, mackenzie crook, tom hollander, naomie harris, david bailie, martin klebba, david schofield, alex norton, geoffrey rush, dermot keaney, andy beckwith, clive ashborn, reggie lee, christopher adamson, jonathan linsley, john boswall, max baker, steve speirs, lauren maher, vanessa branch, luke de woolfson, jonathan kite, ho-kwan tse, peter donald badalamenti ii, christopher s. capp",gore verbinski,145.847379
The Lone Ranger,"action, adventure, western","texas, horse, survivor, texas ranger, partner, outlaw, escape, lawyer, train, lone ranger, comanche, lone ranger, tonto","johnny depp, armie hammer, william fichtner, helena bonham carter, james badge dale, tom wilkinson, ruth wilson, barry pepper, james frain, mason cook, matt o'leary, leon rippy, harry treadaway, damon herriman, w. earl brown, gil birmingham, saginaw grant, stephen brodie, matthew page, nick w. nicholson, bryant prince, jd cullum, joaquín cosio, timothy v. murphy, damon carney, kevin wiggins, chad brummett, robert baker, lew temple, stephen root, randy oglesby, brad greenquist, rance howard, leonard earl howze, travis hammer, steve corona, jack axelrod, christopher hagen, freda foh shen, margaret bowman, luz p. mendez, laina loucks, devon j. adams, desirae anslover, charlotte cormier, megan pribyl, briana van schuyver, julie stracener, chad randall, jason e. hill, beth bailey, joanne camp, bob rumnock, tait fletcher, alex knight, argos maccallum, pokey lafarge, joey glynn, adam hoskins, ryan koenig",gore verbinski,49.046956
Man of Steel,"action, adventure, fantasy, science fiction","saving world, dc comics, superhero, based comic book, superhuman, alien invasion, reboot, super powers, dc extended universe","henry cavill, amy adams, michael shannon, kevin costner, diane lane, russell crowe, laurence fishburne, antje traue, christopher meloni, jadin gould, tahmoh penikett, ayelet zurer, richard schiff, dylan sprayberry, michael kelly, carla gugino, richard cetrone, mackenzie gray, julian richings, mary black, samantha jo, rebecca buller, christina wren, david lewis, doug abrahams, brad kelly, alessandro juliani, jack foley, robert gerdisch, harry lennix, jacqueline scislowski, sean campbell, raj lal",zack snyder,99.398009
The Chronicles of Narnia: Prince Caspian,"adventure, family, fantasy","based novel, fictional place, brother sister relationship, lion, human being, wretch, leap time, matter life death, faith, uncle, narnia, fantasy world","ben barnes, william moseley, anna popplewell, skandar keynes, georgie henley, sergio castellitto, alicia borrachero, peter dinklage, warwick davis, vincent grass, pierfrancesco favino, damián alcázar, simón andreu, predrag bjelac, shane rangi, cornell john, liam neeson, ken stott, tilda swinton, eddie izzard, klára issová",andrew adamson,53.978602
The Avengers,"science fiction, action, adventure","new york, shield, marvel comic, superhero, based comic book, alien invasion, superhero team, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe","robert downey jr., chris evans, mark ruffalo, chris hemsworth, scarlett johansson, jeremy renner, tom hiddleston, clark gregg, cobie smulders, stellan skarsgård, samuel l. jackson, gwyneth paltrow, paul bettany, jenny agutter, walter perez, powers boothe, stan lee, arthur darbinyan, donald li, ashley johnson, harry dean stanton, alicia sixtos, dieter riesle, jamie mcshane, jeff wolfe, jerzy skolimowski, maximiliano hernández, alexis denisof, james eckhouse, enver gjokaj, damion poitier, tina benko, kirill nikiforov, m'laah kaur singh, rashmi rustagi, warren kole, jesse garcia, kenneth tigar, josh cowdery, katsumi komatsu, yumiko komatsu, momoko komatsu, robert clohessy, fernanda toker, andrea vecchio, robin swoboda, brent mcgee, michael zhang, william-christopher stephens, kelley robins, romy rosemont, pat kiernan, thomas roberts, jillian morgese, catherine anderson, ricardo andres, logan bennett, mayank bhatter, sharita bone, jason botsford, mary kate campbell, gene n. chavez, layla cushman, robert dean, rick dremann, jeffrey feingold, lou ferrigno, rod fielder, eric frank, israel hall, carmen dee harris, alexander christopher jones, mike karban, demoine kinney, andrew knode, annette lawless, kimberly j. mahoney, todd manes, jorge mardel, tiffany sander mckenzie, michael mcmillan, sean meehan, joti nagra, holly neelie, caleb daniel noal, joseph o'brien, jeremy orr, nate paige, martin palmer, maria perossa, caleb pieplow, alexander daniel pimentel, frank powers, jaime powers, brent reichert, kelly ruble, gina sarno, robert b. schneider iv, jeff seich, christina shaffer, alonda shevette, douglas slygh, colin strause, robert p. thitoff, george thomas, shane thompson, jerry lee tucker, tai urban, chris vaina, sandra weston, seth zielicke, alex decourville, debbie scaletta, andrea-nichole olivas, tina grimm",joss whedon,144.448633
Pirates of the Caribbean: On Stranger Tides,"adventure, action, fantasy","sea, captain, mutiny, sword, prime minister, sailing, silver, ship, duke, mermaid, pirate, soldier, battle, swashbuckler, aftercreditsstinger, 3d","johnny depp, penélope cruz, ian mcshane, kevin mcnally, geoffrey rush, sam claflin, astrid bergès-frisbey, stephen graham, greg ellis, damian o'hare, óscar jaenada, richard griffiths, keith richards, gemma ward, judi dench, ian mercer, robbie kay, christopher fairbank, yuki matsuzaki, steve evets, bronson webb, derek mears, deobia oparei, sebastian armesto, anton lesser, roger allam, paul bazely, richard thomson, danny le boyer, alan j. utley-moore, luke roberts, emilia jones, sanya hughes, lejon, siegfried peters",rob marshall,135.413856
Men in Black 3,"action, comedy, science fiction","time travel, time machine, alien, fictional government agency, seeing future, changing history","will smith, tommy lee jones, josh brolin, michael stuhlbarg, emma thompson, jemaine clement, nicole scherzinger, alice eve, bill hader, michael chernus, david rasche, keone young, cayen martin, mike colter, mela hudson, will arnett, kelvin davis, dan bittner",barry sonnenfeld,52.035179
The Hobbit: The Battle of the Five Armies,"action, adventure, fantasy","corruption, elves, dwarves, orcs, middle-earth (tolkien), hobbit, dragon, battle, unlikely friendship, epic battle, sword sorcery","martin freeman, ian mckellen, richard armitage, ken stott, graham mctavish, william kircher, james nesbitt, stephen hunter, dean o'gorman, aidan turner, john callen, peter hambleton, jed brophy, mark hadlow, adam brown, orlando bloom, evangeline lilly, lee pace, cate blanchett, hugo weaving, christopher lee, ian holm, mikael persbrandt, sylvester mccoy, luke evans, stephen fry, john bell, ryan gage, peggy nesbitt, mary nesbitt, manu bennett, john tui, billy connolly, benedict cumberbatch, kelly kilgour, sarah peirse, nick blake, simon london, conan stevens, allan smith, miranda harcourt, thomasin mckenzie",peter jackson,120.965743
The Amazing Spider-Man,"action, adventure, fantasy","loss father, vigilante, serum, marvel comic, scientific experiment, spider bite, masked vigilante, reboot, super powers, genetic engineering, social outcast, duringcreditsstinger","andrew garfield, emma stone, rhys ifans, denis leary, campbell scott, irrfan khan, martin sheen, sally field, max charles, chris zylka, embeth davidtz, leif gantvoort, hannah marks, kelsey asbille, c. thomas howell, stan lee, michael massee, michael papajohn, kari coleman, charlie depew, skyler gisondo, jacob rodier, jake keiffer, kevin mccorkle, barbara eve harris, danielle burgio, michael barra, andy pessoa, andy gladbach, ring hendricks-tellefsen, tom waite, keith campbell, steve decastro, james chen, alexander bedria, john burke, jill flint, mark daugherty, milton gonzález, vincent laresca, damien lemon, ty upshaw, tia texada, jay caputo, terry bozeman, jennifer lyons, amber stevens, zoey deutch, jody cosgrove-kao, max bogner, ethan cohn, miles elliot, miranda ladawn hill, amanda macdonald, maury morgan, amy novondo, kristin quick",marc webb,89.866276
Robin Hood,"action, adventure","robin hood, archer, knight, sherwood forest, bow arrow, middle ages, medieval, king england","russell crowe, cate blanchett, max von sydow, william hurt, mark strong, oscar isaac, danny huston, eileen atkins, mark addy, matthew macfadyen, kevin durand, scott grimes, alan doyle, douglas hodge, léa seydoux, jonathan zaccaï, robert pugh, gerard mcsorley, velibor topic, ciaran flynn, simon mcburney, mark lewis jones, bronson webb, denis ménochet, ruby bentall, jessica raine, john nicholas, roy holder, denise gough, luke evans, arthur darvill, giannina facio, ralph ineson, jake curran",ridley scott,37.668301
The Hobbit: The Desolation of Smaug,"adventure, fantasy","elves, dwarves, orcs, hobbit, dragon, wizard, sword sorcery","martin freeman, ian mckellen, richard armitage, ken stott, graham mctavish, william kircher, james nesbitt, stephen hunter, dean o'gorman, aidan turner, benedict cumberbatch, lee pace, luke evans, evangeline lilly, orlando bloom, mikael persbrandt, manu bennett, stephen fry, john bell, sylvester mccoy, terry notary, peter hambleton, cate blanchett, stephen colbert, jed brophy, sarah peirse, mary nesbitt, peggy nesbitt, mark hadlow, john callen, adam brown, ben mitchell",peter jackson,94.370564
The Golden Compass,"adventure, fantasy","england, compass, experiment, lordship, uncle, polar bear, orphan, animal, based young adult novel","dakota blue richards, nicole kidman, daniel craig, sam elliott, eva green, freddie highmore, ian mckellen, ben walker, ian mcshane, kristin scott thomas, kathy bates, jim carter, tom courtenay, christopher lee, simon mcburney, jack shepherd, magda szubanski, derek jacobi, clare higgins, charlie rowe, steven loton, michael antoniou, mark mottram, hattie morahan, jason watkins, sam hoare, brian nickels, thomas arnold, helen soraya",chris weitz,42.990906
King Kong,"adventure, drama, action","film business, screenplay, business, film making, film producer, exotic island, monster, indigenous, ship, dinosaur","naomi watts, jack black, adrien brody, thomas kretschmann, colin hanks, andy serkis, evan parke, jamie bell, lobo chan, john sumner, craig hall, kyle chandler, william johnson, david pittu, mark hadlow, geraldine brophy, david dennis, pip mushin, jim knobeloch, ric herbert, lee donahue, tom hobbs, tiriel mora, jed brophy, john wraight, william wallace, frank edwards, crawford thomson, richard kavanagh, stephen hall, joe folau, chic littlewood, samuel taylor",peter jackson,61.22601
Titanic,"drama, romance, thriller","shipwreck, iceberg, ship, panic, titanic, ocean liner, epic, rich woman - poor man, love, disaster, tragic love, class differences, imax, star crossed lovers, steerage, salvage, rich snob, 3d, 1910s","kate winslet, leonardo dicaprio, frances fisher, billy zane, kathy bates, gloria stuart, bill paxton, bernard hill, david warner, victor garber, jonathan hyde, suzy amis, lewis abernathy, nicholas cascone, danny nucci, jason barry, lew palter, eric braeden, bernard fox, ewan stewart, ioan gruffudd, jonny phillips, edward fletcher, scott g. anderson, martin east, gregory cooke, alexandrea owens, seth adkins, michael ensign, anatoly m. sagalevitch, martin hub, mark lindsay chapman, richard graham, paul brightwell, ron donachie, charlotte chatton, fannie brett, jenette goldstein, camilla overbye roos, linda kerns, amy gaipa, martin jarvis, rosalind ayres, rochelle rose, jonathan evans-jones, brian walsh, rocky taylor, craig kelly, liam tuohy, simon crane, james lancaster, elsa raven, reece p. thompson iii, laramie landis, mark rafael truitt, john walcutt, terry forrestal, derek lea, richard ashton, sean nepita, brendan connolly, david cronnelly, garth wilton, richard fox, nick meaney, kevin owers, mark capri, marc cass, paul herbert, emmett james, chris byrne, oliver page, james garrett, erik holland, erik holland, jari kinnunen, anders falk, barry dennen, vern urich, rebecca klingler, tricia o'neil, kathleen s. dunn, romeo francis, mandana marino, van ling, bjørn olsen, dan pettersson, shay duffin, greg ellis, diana morgan, kris andersson, bobbie bates, aaron james cash, anne fletcher, edmond alan forsyth, andie hicks, scott hislop, stan mazin, lisa ratzin, julene renee, brian baines, ellie bensinger, alexandra boyd, mike butters, james cameron, bruno campolo, chris cragnotti, kevyn currie, kevin de la noy, thomas fiss, griffin howell, sean howse, tony kenny, bret aaron knower, george kosty iii, george kosty jr., geoffrey c. kosty, gregory charles kosty, sean lawlor, john leonhardt, miguel a. lomelin, don lynch, johnny martin, ryan mcclurkin, meghan mcleod, mike o'neal, julian oros, phil parlapiano, judy prestininzi, steven quale, olivia rosewood, john slade, stephen wolfe smith, r. gern trowbridge, francisco váldez, lucie zolcerova",james cameron,100.025899
Captain America: Civil War,"adventure, action, science fiction","civil war, war, marvel comic, sequel, superhero, based comic book, imax, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe, 3d","chris evans, robert downey jr., scarlett johansson, sebastian stan, anthony mackie, don cheadle, jeremy renner, chadwick boseman, paul bettany, elizabeth olsen, paul rudd, emily vancamp, tom holland, frank grillo, william hurt, daniel brühl, john slattery, kerry condon, martin freeman, marisa tomei, john kani, hope davis, gene farber, florence kasumba, alfre woodard, jim rash, stan lee, joe russo, damion poitier, michael a. cook, laughton parchment, jackson spidell, yi long, heidi moneymaker, aaron toney, cale schultz, ann russo, cornell john, sven hönig, joshua peck, brent mcgee, be satrazemis, blair jasin, oli bigalke, rafael banasik, david de vries, john curran, katie amess, austin sanders, brett gentile, matthew anderson, andrew botchwey, chase bradfield, ernest charles, hendricks coates, ethan condon, shen dynes, nathaniel ellis, jariah ferguson, evan ffrench, justin freeman, ralphael grand'pierre, julian grimes, aaron hayes, austin hooper, amiri jones, myles joseph, stephen lewis, jacob ludwick, d'mahrei mcrae, ashwin mudaliar, eli ollinger, parker pape, daniel parada, jonah ruffin, darryl sampson, cameron sardone, stanley sellers, miles selles, jacob sung, caden wilkinson, kim scar, jessica walther-gabory, beniamino brogi, silvina buchbauer, henry amadi, ugochukwu ani, michael anthony rogers, umar khan, david brown, guy fernandez, sophia russo, amelia morck, julianna guill, surely alvelo, brian schaeffer, kevin larosa jr., al cerullo, frédéric north, ray sahetapy","anthony russo, joe russo",198.372395
